date,permno,htsymbol,prc,ret
2019-01-31,14593,AAPL,166.44,0.055154
2019-02-28,14593,AAPL,173.14999,0.044701
2019-03-29,14593,AAPL,189.95,0.097026
2019-04-30,14593,AAPL,200.67,0.056436
2019-05-31,14593,AAPL,175.07001,-0.123735
2019-06-28,14593,AAPL,197.92,0.130519
2019-07-31,14593,AAPL,213.03999,0.076395
2019-08-30,14593,AAPL,208.74001,-0.01657
2019-09-30,14593,AAPL,223.97,0.072962
2019-10-31,14593,AAPL,248.75999,0.110684
2019-11-29,14593,AAPL,267.25,0.077424
2019-12-31,14593,AAPL,293.64999,0.098784
2020-01-31,14593,AAPL,309.51001,0.05401
2020-02-28,14593,AAPL,273.35999,-0.11431
2020-03-31,14593,AAPL,254.28999,-0.069762
2020-04-30,14593,AAPL,293.79999,0.155374
2020-05-29,14593,AAPL,317.94,0.084956
2020-06-30,14593,AAPL,364.79999,0.147386
2020-07-31,14593,AAPL,425.04001,0.165132
2020-08-31,14593,AAPL,129.03999,0.216309
2020-09-30,14593,AAPL,115.81,-0.102526
2020-10-30,14593,AAPL,108.86,-0.060012
2020-11-30,14593,AAPL,119.05,0.09549
2020-12-31,14593,AAPL,132.69,0.114574
2021-01-29,14593,AAPL,131.96001,-0.005502
2021-02-26,14593,AAPL,121.26,-0.079532
2021-03-31,14593,AAPL,122.15,0.00734
2021-04-30,14593,AAPL,131.46001,0.076218
2021-05-28,14593,AAPL,124.61,-0.050434
2021-06-30,14593,AAPL,136.96001,0.099109
2021-07-30,14593,AAPL,145.86,0.064982
2021-08-31,14593,AAPL,151.83,0.042438
2021-09-30,14593,AAPL,141.5,-0.068037
2021-10-29,14593,AAPL,149.8,0.058657
2021-11-30,14593,AAPL,165.3,0.10494
2021-12-31,14593,AAPL,177.57001,0.074229
2022-01-31,14593,AAPL,174.78,-0.015712
2022-02-28,14593,AAPL,165.12,-0.054011
2022-03-31,14593,AAPL,174.61,0.057473
2022-04-29,14593,AAPL,157.64999,-0.097131
2022-05-31,14593,AAPL,148.84,-0.054424
2022-06-30,14593,AAPL,136.72,-0.08143
2022-07-29,14593,AAPL,162.50999,0.188634
2022-08-31,14593,AAPL,157.22,-0.031137
2022-09-30,14593,AAPL,138.2,-0.120977
2022-10-31,14593,AAPL,153.34,0.109551
2022-11-30,14593,AAPL,148.03,-0.033129
2022-12-30,14593,AAPL,129.92999,-0.122273
2023-01-31,14593,AAPL,144.28999,0.110521
2023-02-28,14593,AAPL,147.41,0.023217
2023-03-31,14593,AAPL,164.89999,0.118649
2023-04-28,14593,AAPL,169.67999,0.028987
2023-05-31,14593,AAPL,177.25,0.046028
2023-06-30,14593,AAPL,193.97,0.09433
2023-07-31,14593,AAPL,196.45,0.012786
2023-08-31,14593,AAPL,187.87,-0.042454
2023-09-29,14593,AAPL,171.21001,-0.088678
2023-10-31,14593,AAPL,170.77,-0.00257
2023-11-30,14593,AAPL,189.95,0.11372
2023-12-29,14593,AAPL,192.53,0.013583
2024-01-31,14593,AAPL,184.39999,-0.042227
2024-02-29,14593,AAPL,180.75,-0.018492
2024-03-28,14593,AAPL,171.48,-0.051286
2024-04-30,14593,AAPL,170.33,-0.006706
2024-05-31,14593,AAPL,192.25,0.130159
2024-06-28,14593,AAPL,210.62,0.095553
2024-07-31,14593,AAPL,222.08,0.054411
2024-08-30,14593,AAPL,229.0,0.032286
2024-09-30,14593,AAPL,233.0,0.017467
2024-10-31,14593,AAPL,225.91,-0.030429
2024-11-29,14593,AAPL,237.33,0.051658
2024-12-31,14593,AAPL,250.42,0.055155
