date,permno,htsymbol,prc,ret
2020-12-31,20190,ABNB,146.8,
2021-01-29,20190,ABNB,183.63,0.250886
2021-02-26,20190,ABNB,206.35001,0.123727
2021-03-31,20190,ABNB,187.94,-0.089217
2021-04-30,20190,ABNB,172.71001,-0.081037
2021-05-28,20190,ABNB,140.39999,-0.187077
2021-06-30,20190,ABNB,153.14,0.090741
2021-07-30,20190,ABNB,144.00999,-0.059619
2021-08-31,20190,ABNB,154.99001,0.076245
2021-09-30,20190,ABNB,167.75,0.082328
2021-10-29,20190,ABNB,170.66,0.017347
2021-11-30,20190,ABNB,172.53999,0.011016
2021-12-31,20190,ABNB,166.49001,-0.035064
2022-01-31,20190,ABNB,153.97,-0.0752
2022-02-28,20190,ABNB,151.49001,-0.016107
2022-03-31,20190,ABNB,171.75999,0.133804
2022-04-29,20190,ABNB,153.21001,-0.107999
2022-05-31,20190,ABNB,120.87,-0.211083
2022-06-30,20190,ABNB,89.08,-0.26301
2022-07-29,20190,ABNB,110.98,0.245846
2022-08-31,20190,ABNB,113.12,0.019283
2022-09-30,20190,ABNB,105.04,-0.071429
2022-10-31,20190,ABNB,106.91,0.017803
2022-11-30,20190,ABNB,102.14,-0.044617
2022-12-30,20190,ABNB,85.5,-0.162914
2023-01-31,20190,ABNB,111.11,0.299532
2023-02-28,20190,ABNB,123.28,0.109531
2023-03-31,20190,ABNB,124.4,0.009085
2023-04-28,20190,ABNB,119.67,-0.038023
2023-05-31,20190,ABNB,109.77,-0.082728
2023-06-30,20190,ABNB,128.16,0.167532
2023-07-31,20190,ABNB,152.19,0.1875
2023-08-31,20190,ABNB,131.55,-0.13562
2023-09-29,20190,ABNB,137.21001,0.043026
2023-10-31,20190,ABNB,118.29,-0.137891
2023-11-30,20190,ABNB,126.34,0.068053
2023-12-29,20190,ABNB,136.14,0.077569
2024-01-31,20190,ABNB,144.14,0.058763
2024-02-29,20190,ABNB,157.47,0.09248
2024-03-28,20190,ABNB,164.96001,0.047565
2024-04-30,20190,ABNB,158.57001,-0.038737
2024-05-31,20190,ABNB,144.92999,-0.086019
2024-06-28,20190,ABNB,151.63,0.046229
2024-07-31,20190,ABNB,139.56,-0.079602
2024-08-30,20190,ABNB,117.31,-0.15943
2024-09-30,20190,ABNB,126.81,0.080982
2024-10-31,20190,ABNB,134.78999,0.062929
2024-11-29,20190,ABNB,136.11,0.009793
2024-12-31,20190,ABNB,131.41,-0.034531
