date,permno,htsymbol,prc,ret
2021-07-30,21723,HOOD,35.15,
2021-08-31,21723,HOOD,44.32,0.260882
2021-09-30,21723,HOOD,42.08,-0.050542
2021-10-29,21723,HOOD,34.97,-0.168964
2021-11-30,21723,HOOD,25.94,-0.258221
2021-12-31,21723,HOOD,17.76,-0.315343
2022-01-31,21723,HOOD,14.15,-0.203266
2022-02-28,21723,HOOD,12.01,-0.151237
2022-03-31,21723,HOOD,13.51,0.124896
2022-04-29,21723,HOOD,9.805,-0.274241
2022-05-31,21723,HOOD,10.06,0.026007
2022-06-30,21723,HOOD,8.22,-0.182903
2022-07-29,21723,HOOD,9.05,0.100973
2022-08-31,21723,HOOD,9.55,0.055249
2022-09-30,21723,HOOD,10.1,0.057592
2022-10-31,21723,HOOD,11.68,0.156436
2022-11-30,21723,HOOD,9.59,-0.178938
2022-12-30,21723,HOOD,8.14,-0.151199
2023-01-31,21723,HOOD,10.41,0.27887
2023-02-28,21723,HOOD,10.07,-0.032661
2023-03-31,21723,HOOD,9.71,-0.03575
2023-04-28,21723,HOOD,8.85,-0.088568
2023-05-31,21723,HOOD,8.92,0.00791
2023-06-30,21723,HOOD,9.98,0.118834
2023-07-31,21723,HOOD,12.86,0.288577
2023-08-31,21723,HOOD,10.89,-0.153188
2023-09-29,21723,HOOD,9.81,-0.099174
2023-10-31,21723,HOOD,9.14,-0.068298
2023-11-30,21723,HOOD,8.8,-0.037199
2023-12-29,21723,HOOD,12.74,0.447727
2024-01-31,21723,HOOD,10.74,-0.156986
2024-02-29,21723,HOOD,16.31,0.518622
2024-03-28,21723,HOOD,20.13,0.234212
2024-04-30,21723,HOOD,16.49,-0.180825
2024-05-31,21723,HOOD,20.9,0.267435
2024-06-28,21723,HOOD,22.71,0.086603
2024-07-31,21723,HOOD,20.57,-0.094232
2024-08-30,21723,HOOD,20.12,-0.021877
2024-09-30,21723,HOOD,23.42,0.164016
2024-10-31,21723,HOOD,23.49,0.002989
2024-11-29,21723,HOOD,37.54,0.598127
2024-12-31,21723,HOOD,37.26,-0.007459
