date,permno,htsymbol,prc,ret
2019-01-31,43449,MCD,178.78,0.006814
2019-02-28,43449,MCD,183.84,0.034791
2019-03-29,43449,MCD,189.89999,0.032963
2019-04-30,43449,MCD,197.57001,0.04039
2019-05-31,43449,MCD,198.27,0.009414
2019-06-28,43449,MCD,207.66,0.04736
2019-07-31,43449,MCD,210.72,0.014736
2019-08-30,43449,MCD,217.97,0.039911
2019-09-30,43449,MCD,214.71001,-0.014956
2019-10-31,43449,MCD,196.7,-0.083881
2019-11-29,43449,MCD,194.48,-0.004931
2019-12-31,43449,MCD,197.61,0.016094
2020-01-31,43449,MCD,213.97,0.082789
2020-02-28,43449,MCD,194.17,-0.086694
2020-03-31,43449,MCD,165.35001,-0.148427
2020-04-30,43449,MCD,187.56,0.134321
2020-05-29,43449,MCD,186.32001,5.3e-05
2020-06-30,43449,MCD,184.47,-0.009929
2020-07-31,43449,MCD,194.28,0.053179
2020-08-31,43449,MCD,213.52,0.105466
2020-09-30,43449,MCD,219.49001,0.02796
2020-10-30,43449,MCD,213.0,-0.029569
2020-11-30,43449,MCD,217.44,0.026901
2020-12-31,43449,MCD,214.58,-0.013153
2021-01-29,43449,MCD,207.84,-0.03141
2021-02-26,43449,MCD,206.14,-0.001973
2021-03-31,43449,MCD,224.14,0.087319
2021-04-30,43449,MCD,236.08,0.05327
2021-05-28,43449,MCD,233.89,-0.003812
2021-06-30,43449,MCD,230.99001,-0.012399
2021-07-30,43449,MCD,242.71001,0.050738
2021-08-31,43449,MCD,237.46001,-0.016316
2021-09-30,43449,MCD,241.11,0.015371
2021-10-29,43449,MCD,245.55,0.018415
2021-11-30,43449,MCD,244.60001,0.001751
2021-12-31,43449,MCD,268.07001,0.095953
2022-01-31,43449,MCD,259.45001,-0.032156
2022-02-28,43449,MCD,244.77,-0.051262
2022-03-31,43449,MCD,247.28,0.010255
2022-04-29,43449,MCD,249.16,0.007603
2022-05-31,43449,MCD,252.21001,0.012241
2022-06-30,43449,MCD,246.88,-0.015662
2022-07-29,43449,MCD,263.37,0.066794
2022-08-31,43449,MCD,252.28,-0.036868
2022-09-30,43449,MCD,230.74001,-0.085381
2022-10-31,43449,MCD,272.66,0.181676
2022-11-30,43449,MCD,272.79001,0.006052
2022-12-30,43449,MCD,263.53,-0.033946
2023-01-31,43449,MCD,267.39999,0.014685
2023-02-28,43449,MCD,263.91,-0.007367
2023-03-31,43449,MCD,279.60999,0.05949
2023-04-28,43449,MCD,295.75,0.057723
2023-05-31,43449,MCD,285.10999,-0.035976
2023-06-30,43449,MCD,298.41,0.05198
2023-07-31,43449,MCD,293.20001,-0.017459
2023-08-31,43449,MCD,281.14999,-0.035914
2023-09-29,43449,MCD,263.44,-0.062991
2023-10-31,43449,MCD,262.17001,-0.004821
2023-11-30,43449,MCD,281.84,0.081398
2023-12-29,43449,MCD,296.51001,0.052051
2024-01-31,43449,MCD,292.72,-0.012782
2024-02-29,43449,MCD,292.28,0.004202
2024-03-28,43449,MCD,281.95001,-0.035343
2024-04-30,43449,MCD,273.04001,-0.031601
2024-05-31,43449,MCD,258.89001,-0.051824
2024-06-28,43449,MCD,254.84,-0.009193
2024-07-31,43449,MCD,265.39999,0.041438
2024-08-30,43449,MCD,288.66,0.087641
2024-09-30,43449,MCD,304.51001,0.060694
2024-10-31,43449,MCD,292.10999,-0.040721
2024-11-29,43449,MCD,296.01001,0.013351
2024-12-31,43449,MCD,289.89001,-0.014695
