date,permno,htsymbol,prc,ret
2019-01-31,10107,MSFT,104.43,0.028158
2019-02-28,10107,MSFT,112.03,0.077181
2019-03-29,10107,MSFT,117.94,0.052754
2019-04-30,10107,MSFT,130.60001,0.107343
2019-05-31,10107,MSFT,123.68,-0.049464
2019-06-28,10107,MSFT,133.96001,0.083118
2019-07-31,10107,MSFT,136.27,0.017244
2019-08-30,10107,MSFT,137.86,0.015044
2019-09-30,10107,MSFT,139.03,0.008487
2019-10-31,10107,MSFT,143.37,0.031216
2019-11-29,10107,MSFT,151.38,0.059427
2019-12-31,10107,MSFT,157.7,0.041749
2020-01-31,10107,MSFT,170.23,0.079455
2020-02-28,10107,MSFT,162.00999,-0.045292
2020-03-31,10107,MSFT,157.71001,-0.026542
2020-04-30,10107,MSFT,179.21001,0.136326
2020-05-29,10107,MSFT,183.25,0.025389
2020-06-30,10107,MSFT,203.50999,0.110559
2020-07-31,10107,MSFT,205.00999,0.007371
2020-08-31,10107,MSFT,225.53,0.10258
2020-09-30,10107,MSFT,210.33,-0.067397
2020-10-30,10107,MSFT,202.47,-0.03737
2020-11-30,10107,MSFT,214.07001,0.060058
2020-12-31,10107,MSFT,222.42,0.039006
2021-01-29,10107,MSFT,231.96001,0.042892
2021-02-26,10107,MSFT,232.38,0.004225
2021-03-31,10107,MSFT,235.77,0.014588
2021-04-30,10107,MSFT,252.17999,0.069602
2021-05-28,10107,MSFT,249.67999,-0.007693
2021-06-30,10107,MSFT,270.89999,0.084989
2021-07-30,10107,MSFT,284.91,0.051717
2021-08-31,10107,MSFT,301.88,0.061528
2021-09-30,10107,MSFT,281.92001,-0.066119
2021-10-29,10107,MSFT,331.62,0.176291
2021-11-30,10107,MSFT,330.59,-0.001236
2021-12-31,10107,MSFT,336.32001,0.017333
2022-01-31,10107,MSFT,310.98001,-0.075345
2022-02-28,10107,MSFT,298.79001,-0.037205
2022-03-31,10107,MSFT,308.31,0.031862
2022-04-29,10107,MSFT,277.51999,-0.099867
2022-05-31,10107,MSFT,271.87,-0.018125
2022-06-30,10107,MSFT,256.82999,-0.055321
2022-07-29,10107,MSFT,280.73999,0.093097
2022-08-31,10107,MSFT,261.47,-0.066432
2022-09-30,10107,MSFT,232.89999,-0.109267
2022-10-31,10107,MSFT,232.13,-0.003306
2022-11-30,10107,MSFT,255.14,0.102055
2022-12-30,10107,MSFT,239.82001,-0.060045
2023-01-31,10107,MSFT,247.81,0.033317
2023-02-28,10107,MSFT,249.42,0.009241
2023-03-31,10107,MSFT,288.29999,0.155882
2023-04-28,10107,MSFT,307.26001,0.065765
2023-05-31,10107,MSFT,328.39001,0.070982
2023-06-30,10107,MSFT,340.54001,0.036999
2023-07-31,10107,MSFT,335.92001,-0.013567
2023-08-31,10107,MSFT,327.76001,-0.022267
2023-09-29,10107,MSFT,315.75,-0.036643
2023-10-31,10107,MSFT,338.10999,0.070816
2023-11-30,10107,MSFT,378.91,0.122889
2023-12-29,10107,MSFT,376.04001,-0.007574
2024-01-31,10107,MSFT,397.57999,0.057281
2024-02-29,10107,MSFT,413.64001,0.042281
2024-03-28,10107,MSFT,420.72,0.017116
2024-04-30,10107,MSFT,389.32999,-0.07461
2024-05-31,10107,MSFT,415.13,0.068194
2024-06-28,10107,MSFT,446.95001,0.076651
2024-07-31,10107,MSFT,418.35001,-0.063989
2024-08-30,10107,MSFT,417.14001,-0.0011
2024-09-30,10107,MSFT,430.29999,0.031548
2024-10-31,10107,MSFT,406.35001,-0.055659
2024-11-29,10107,MSFT,423.45999,0.044149
2024-12-31,10107,MSFT,421.5,-0.004629
