date,permno,htsymbol,prc,ret
2019-01-31,89393,NFLX,339.5,0.2684
2019-02-28,89393,NFLX,358.10001,0.054787
2019-03-29,89393,NFLX,356.56,-0.004301
2019-04-30,89393,NFLX,370.54001,0.039208
2019-05-31,89393,NFLX,343.28,-0.073568
2019-06-28,89393,NFLX,367.32001,0.07003
2019-07-31,89393,NFLX,322.98999,-0.120685
2019-08-30,89393,NFLX,293.75,-0.090529
2019-09-30,89393,NFLX,267.62,-0.088953
2019-10-31,89393,NFLX,287.41,0.073948
2019-11-29,89393,NFLX,314.66,0.094812
2019-12-31,89393,NFLX,323.57001,0.028316
2020-01-31,89393,NFLX,345.09,0.066508
2020-02-28,89393,NFLX,369.03,0.069373
2020-03-31,89393,NFLX,375.5,0.017533
2020-04-30,89393,NFLX,419.85001,0.118109
2020-05-29,89393,NFLX,419.73001,-0.000286
2020-06-30,89393,NFLX,455.04001,0.084126
2020-07-31,89393,NFLX,488.88,0.074367
2020-08-31,89393,NFLX,529.56,0.083211
2020-09-30,89393,NFLX,500.03,-0.055763
2020-10-30,89393,NFLX,475.73999,-0.048577
2020-11-30,89393,NFLX,490.70001,0.031446
2020-12-31,89393,NFLX,540.72998,0.101956
2021-01-29,89393,NFLX,532.39001,-0.015424
2021-02-26,89393,NFLX,538.84998,0.012134
2021-03-31,89393,NFLX,521.65997,-0.031901
2021-04-30,89393,NFLX,513.46997,-0.0157
2021-05-28,89393,NFLX,502.81,-0.020761
2021-06-30,89393,NFLX,528.21002,0.050516
2021-07-30,89393,NFLX,517.57001,-0.020144
2021-08-31,89393,NFLX,569.19,0.099735
2021-09-30,89393,NFLX,610.34003,0.072296
2021-10-29,89393,NFLX,690.31,0.131025
2021-11-30,89393,NFLX,641.90002,-0.070128
2021-12-31,89393,NFLX,602.44,-0.061474
2022-01-31,89393,NFLX,427.14001,-0.290983
2022-02-28,89393,NFLX,394.51999,-0.076369
2022-03-31,89393,NFLX,374.59,-0.050517
2022-04-29,89393,NFLX,190.36,-0.491818
2022-05-31,89393,NFLX,197.44,0.037193
2022-06-30,89393,NFLX,174.87,-0.114313
2022-07-29,89393,NFLX,224.89999,0.286098
2022-08-31,89393,NFLX,223.56,-0.005958
2022-09-30,89393,NFLX,235.44,0.05314
2022-10-31,89393,NFLX,291.88,0.239721
2022-11-30,89393,NFLX,305.53,0.046766
2022-12-30,89393,NFLX,294.88,-0.034857
2023-01-31,89393,NFLX,353.85999,0.200013
2023-02-28,89393,NFLX,322.13,-0.089668
2023-03-31,89393,NFLX,345.48001,0.072486
2023-04-28,89393,NFLX,329.92999,-0.04501
2023-05-31,89393,NFLX,395.23001,0.197921
2023-06-30,89393,NFLX,440.48999,0.114516
2023-07-31,89393,NFLX,438.97,-0.003451
2023-08-31,89393,NFLX,433.67999,-0.012051
2023-09-29,89393,NFLX,377.60001,-0.129312
2023-10-31,89393,NFLX,411.69,0.090281
2023-11-30,89393,NFLX,473.97,0.151279
2023-12-29,89393,NFLX,486.88,0.027238
2024-01-31,89393,NFLX,564.10999,0.158622
2024-02-29,89393,NFLX,602.91998,0.068799
2024-03-28,89393,NFLX,607.33002,0.007314
2024-04-30,89393,NFLX,550.64001,-0.093343
2024-05-31,89393,NFLX,641.62,0.165226
2024-06-28,89393,NFLX,674.88,0.051838
2024-07-31,89393,NFLX,628.34998,-0.068946
2024-08-30,89393,NFLX,701.34998,0.116177
2024-09-30,89393,NFLX,709.27002,0.011293
2024-10-31,89393,NFLX,756.03003,0.065927
2024-11-29,89393,NFLX,886.81,0.172982
2024-12-31,89393,NFLX,891.32001,0.005086
