date,permno,htsymbol,prc,ret
2020-09-30,19788,PLTR,9.5,
2020-10-30,19788,PLTR,10.13,0.066316
2020-11-30,19788,PLTR,27.11,1.676209
2020-12-31,19788,PLTR,23.55,-0.131317
2021-01-29,19788,PLTR,35.18,0.493843
2021-02-26,19788,PLTR,23.9,-0.320637
2021-03-31,19788,PLTR,23.29,-0.025523
2021-04-30,19788,PLTR,23.04,-0.010734
2021-05-28,19788,PLTR,22.95,-0.003906
2021-06-30,19788,PLTR,26.36,0.148584
2021-07-30,19788,PLTR,21.71,-0.176404
2021-08-31,19788,PLTR,26.34,0.213266
2021-09-30,19788,PLTR,24.04,-0.08732
2021-10-29,19788,PLTR,25.88,0.076539
2021-11-30,19788,PLTR,20.65,-0.202087
2021-12-31,19788,PLTR,18.21,-0.11816
2022-01-31,19788,PLTR,13.71,-0.247117
2022-02-28,19788,PLTR,11.85,-0.135667
2022-03-31,19788,PLTR,13.73,0.15865
2022-04-29,19788,PLTR,10.4,-0.242535
2022-05-31,19788,PLTR,8.68,-0.165385
2022-06-30,19788,PLTR,9.07,0.044931
2022-07-29,19788,PLTR,10.35,0.141125
2022-08-31,19788,PLTR,7.72,-0.254106
2022-09-30,19788,PLTR,8.13,0.053109
2022-10-31,19788,PLTR,8.79,0.081181
2022-11-30,19788,PLTR,7.5,-0.146758
2022-12-30,19788,PLTR,6.42,-0.144
2023-01-31,19788,PLTR,7.78,0.211838
2023-02-28,19788,PLTR,7.84,0.007712
2023-03-31,19788,PLTR,8.45,0.077806
2023-04-28,19788,PLTR,7.75,-0.08284
2023-05-31,19788,PLTR,14.71,0.898064
2023-06-30,19788,PLTR,15.33,0.042148
2023-07-31,19788,PLTR,19.84,0.294194
2023-08-31,19788,PLTR,14.98,-0.24496
2023-09-29,19788,PLTR,16.0,0.068091
2023-10-31,19788,PLTR,14.8,-0.075
2023-11-30,19788,PLTR,20.05,0.35473
2023-12-29,19788,PLTR,17.17,-0.143641
2024-01-31,19788,PLTR,16.09,-0.0629
2024-02-29,19788,PLTR,25.08,0.558732
2024-03-28,19788,PLTR,23.01,-0.082536
2024-04-30,19788,PLTR,21.97,-0.045198
2024-05-31,19788,PLTR,21.68,-0.0132
2024-06-28,19788,PLTR,25.33,0.168358
2024-07-31,19788,PLTR,26.89,0.061587
2024-08-30,19788,PLTR,31.48,0.170695
2024-09-30,19788,PLTR,37.2,0.181703
2024-10-31,19788,PLTR,41.56,0.117204
2024-11-29,19788,PLTR,67.08,0.614052
2024-12-31,19788,PLTR,75.63,0.12746
