date,permno,htsymbol,prc,ret
2019-01-31,17782,SPOT,135.45,0.193392
2019-02-28,17782,SPOT,140.14,0.034625
2019-03-29,17782,SPOT,138.8,-0.009562
2019-04-30,17782,SPOT,135.77,-0.02183
2019-05-31,17782,SPOT,125.58,-0.075053
2019-06-28,17782,SPOT,146.22,0.164357
2019-07-31,17782,SPOT,154.94,0.059636
2019-08-30,17782,SPOT,134.95,-0.129018
2019-09-30,17782,SPOT,114.0,-0.155243
2019-10-31,17782,SPOT,144.3,0.26579
2019-11-29,17782,SPOT,142.55,-0.012128
2019-12-31,17782,SPOT,149.55,0.049106
2020-01-31,17782,SPOT,141.3,-0.055166
2020-02-28,17782,SPOT,137.12,-0.029583
2020-03-31,17782,SPOT,121.44,-0.114352
2020-04-30,17782,SPOT,151.57001,0.248106
2020-05-29,17782,SPOT,180.92999,0.193706
2020-06-30,17782,SPOT,258.19,0.427016
2020-07-31,17782,SPOT,257.82001,-0.001433
2020-08-31,17782,SPOT,282.16,0.094407
2020-09-30,17782,SPOT,242.57001,-0.14031
2020-10-30,17782,SPOT,239.89,-0.011048
2020-11-30,17782,SPOT,291.37,0.214598
2020-12-31,17782,SPOT,314.66,0.079933
2021-01-29,17782,SPOT,315.0,0.001081
2021-02-26,17782,SPOT,307.38,-0.024191
2021-03-31,17782,SPOT,267.95001,-0.128278
2021-04-30,17782,SPOT,252.12,-0.059078
2021-05-28,17782,SPOT,241.57001,-0.041845
2021-06-30,17782,SPOT,275.59,0.140829
2021-07-30,17782,SPOT,228.67,-0.170253
2021-08-31,17782,SPOT,234.34,0.024796
2021-09-30,17782,SPOT,225.34,-0.038406
2021-10-29,17782,SPOT,289.39999,0.284282
2021-11-30,17782,SPOT,238.5,-0.175881
2021-12-31,17782,SPOT,234.03,-0.018742
2022-01-31,17782,SPOT,196.25999,-0.16139
2022-02-28,17782,SPOT,156.19,-0.204168
2022-03-31,17782,SPOT,151.02,-0.033101
2022-04-29,17782,SPOT,101.65,-0.32691
2022-05-31,17782,SPOT,112.77,0.109395
2022-06-30,17782,SPOT,93.83,-0.167952
2022-07-29,17782,SPOT,113.02,0.204519
2022-08-31,17782,SPOT,108.15,-0.04309
2022-09-30,17782,SPOT,86.3,-0.202034
2022-10-31,17782,SPOT,80.58,-0.06628
2022-11-30,17782,SPOT,79.42,-0.014396
2022-12-30,17782,SPOT,78.95,-0.005918
2023-01-31,17782,SPOT,112.72,0.427739
2023-02-28,17782,SPOT,116.3,0.03176
2023-03-31,17782,SPOT,133.62,0.148925
2023-04-28,17782,SPOT,133.60001,-0.00015
2023-05-31,17782,SPOT,148.89999,0.114521
2023-06-30,17782,SPOT,160.55,0.078241
2023-07-31,17782,SPOT,149.41,-0.069387
2023-08-31,17782,SPOT,153.97,0.03052
2023-09-29,17782,SPOT,154.64,0.004351
2023-10-31,17782,SPOT,164.75999,0.065442
2023-11-30,17782,SPOT,185.11,0.123513
2023-12-29,17782,SPOT,187.91,0.015126
2024-01-31,17782,SPOT,215.35001,0.146027
2024-02-29,17782,SPOT,256.41,0.190666
2024-03-28,17782,SPOT,263.89999,0.029211
2024-04-30,17782,SPOT,280.44,0.062675
2024-05-31,17782,SPOT,296.78,0.058266
2024-06-28,17782,SPOT,313.79001,0.057315
2024-07-31,17782,SPOT,343.94,0.096083
2024-08-30,17782,SPOT,342.88,-0.003082
2024-09-30,17782,SPOT,368.53,0.074808
2024-10-31,17782,SPOT,385.10001,0.044962
2024-11-29,17782,SPOT,476.95999,0.238535
2024-12-31,17782,SPOT,447.38,-0.062018
