date,permno,htsymbol,prc,ret
2019-01-31,93436,TSLA,307.01999,-0.077464
2019-02-28,93436,TSLA,319.88,0.041887
2019-03-29,93436,TSLA,279.85999,-0.125109
2019-04-30,93436,TSLA,238.69,-0.147109
2019-05-31,93436,TSLA,185.16,-0.224266
2019-06-28,93436,TSLA,223.46001,0.206848
2019-07-31,93436,TSLA,241.61,0.081223
2019-08-30,93436,TSLA,225.61,-0.066222
2019-09-30,93436,TSLA,240.87,0.067639
2019-10-31,93436,TSLA,314.92001,0.307427
2019-11-29,93436,TSLA,329.94,0.047695
2019-12-31,93436,TSLA,418.32999,0.267897
2020-01-31,93436,TSLA,650.57001,0.55516
2020-02-28,93436,TSLA,667.98999,0.026777
2020-03-31,93436,TSLA,524.0,-0.215557
2020-04-30,93436,TSLA,781.88,0.492137
2020-05-29,93436,TSLA,835.0,0.067939
2020-06-30,93436,TSLA,1079.81006,0.293186
2020-07-31,93436,TSLA,1430.76001,0.325011
2020-08-31,93436,TSLA,498.32001,0.741452
2020-09-30,93436,TSLA,429.01001,-0.139087
2020-10-30,93436,TSLA,388.04001,-0.095499
2020-11-30,93436,TSLA,567.59998,0.462736
2020-12-31,93436,TSLA,705.66998,0.243252
2021-01-29,93436,TSLA,793.53003,0.124506
2021-02-26,93436,TSLA,675.5,-0.14874
2021-03-31,93436,TSLA,667.92999,-0.011207
2021-04-30,93436,TSLA,709.44,0.062147
2021-05-28,93436,TSLA,625.21997,-0.118713
2021-06-30,93436,TSLA,679.70001,0.087137
2021-07-30,93436,TSLA,687.20001,0.011034
2021-08-31,93436,TSLA,735.71997,0.070605
2021-09-30,93436,TSLA,775.47998,0.054042
2021-10-29,93436,TSLA,1114.0,0.43653
2021-11-30,93436,TSLA,1144.76001,0.027612
2021-12-31,93436,TSLA,1056.78003,-0.076855
2022-01-31,93436,TSLA,936.71997,-0.113609
2022-02-28,93436,TSLA,870.42999,-0.070768
2022-03-31,93436,TSLA,1077.59998,0.238009
2022-04-29,93436,TSLA,870.76001,-0.191945
2022-05-31,93436,TSLA,758.26001,-0.129197
2022-06-30,93436,TSLA,673.41998,-0.111888
2022-07-29,93436,TSLA,891.45001,0.323765
2022-08-31,93436,TSLA,275.60999,-0.072489
2022-09-30,93436,TSLA,265.25,-0.037589
2022-10-31,93436,TSLA,227.53999,-0.142168
2022-11-30,93436,TSLA,194.7,-0.144326
2022-12-30,93436,TSLA,123.18,-0.367334
2023-01-31,93436,TSLA,173.22,0.406235
2023-02-28,93436,TSLA,205.71001,0.187565
2023-03-31,93436,TSLA,207.46001,0.008507
2023-04-28,93436,TSLA,164.31,-0.207992
2023-05-31,93436,TSLA,203.92999,0.24113
2023-06-30,93436,TSLA,261.76999,0.283627
2023-07-31,93436,TSLA,267.42999,0.021622
2023-08-31,93436,TSLA,258.07999,-0.034962
2023-09-29,93436,TSLA,250.22,-0.030456
2023-10-31,93436,TSLA,200.84,-0.197346
2023-11-30,93436,TSLA,240.08,0.195379
2023-12-29,93436,TSLA,248.48,0.034988
2024-01-31,93436,TSLA,187.28999,-0.246257
2024-02-29,93436,TSLA,201.88,0.077901
2024-03-28,93436,TSLA,175.78999,-0.129235
2024-04-30,93436,TSLA,183.28,0.042608
2024-05-31,93436,TSLA,178.08,-0.028372
2024-06-28,93436,TSLA,197.88,0.111186
2024-07-31,93436,TSLA,232.07001,0.172781
2024-08-30,93436,TSLA,214.11,-0.077391
2024-09-30,93436,TSLA,261.63,0.221942
2024-10-31,93436,TSLA,249.85001,-0.045025
2024-11-29,93436,TSLA,345.16,0.381469
2024-12-31,93436,TSLA,403.84,0.170008
