date,permno,htsymbol,prc,ret
2019-05-31,18576,UBER,40.41,
2019-06-28,18576,UBER,46.38,0.147736
2019-07-31,18576,UBER,42.14,-0.091419
2019-08-30,18576,UBER,32.57,-0.2271
2019-09-30,18576,UBER,30.47,-0.064477
2019-10-31,18576,UBER,31.5,0.033804
2019-11-29,18576,UBER,29.6,-0.060317
2019-12-31,18576,UBER,29.74,0.00473
2020-01-31,18576,UBER,36.29,0.220242
2020-02-28,18576,UBER,33.87,-0.066685
2020-03-31,18576,UBER,27.92,-0.175672
2020-04-30,18576,UBER,30.27,0.084169
2020-05-29,18576,UBER,36.32,0.199868
2020-06-30,18576,UBER,31.08,-0.144273
2020-07-31,18576,UBER,30.26,-0.026384
2020-08-31,18576,UBER,33.63,0.111368
2020-09-30,18576,UBER,36.48,0.084746
2020-10-30,18576,UBER,33.41,-0.084156
2020-11-30,18576,UBER,49.66,0.486381
2020-12-31,18576,UBER,51.0,0.026984
2021-01-29,18576,UBER,50.93,-0.001373
2021-02-26,18576,UBER,51.75,0.016101
2021-03-31,18576,UBER,54.51,0.053333
2021-04-30,18576,UBER,54.77,0.00477
2021-05-28,18576,UBER,50.83,-0.071937
2021-06-30,18576,UBER,50.12,-0.013968
2021-07-30,18576,UBER,43.46,-0.132881
2021-08-31,18576,UBER,39.14,-0.099402
2021-09-30,18576,UBER,44.8,0.144609
2021-10-29,18576,UBER,43.82,-0.021875
2021-11-30,18576,UBER,38.0,-0.132816
2021-12-31,18576,UBER,41.93,0.103421
2022-01-31,18576,UBER,37.4,-0.108037
2022-02-28,18576,UBER,36.03,-0.036631
2022-03-31,18576,UBER,35.68,-0.009714
2022-04-29,18576,UBER,31.48,-0.117713
2022-05-31,18576,UBER,23.2,-0.263024
2022-06-30,18576,UBER,20.46,-0.118104
2022-07-29,18576,UBER,23.45,0.146139
2022-08-31,18576,UBER,28.76,0.226439
2022-09-30,18576,UBER,26.5,-0.078581
2022-10-31,18576,UBER,26.57,0.002642
2022-11-30,18576,UBER,29.14,0.096726
2022-12-30,18576,UBER,24.73,-0.151338
2023-01-31,18576,UBER,30.93,0.250708
2023-02-28,18576,UBER,33.26,0.075331
2023-03-31,18576,UBER,31.7,-0.046903
2023-04-28,18576,UBER,31.05,-0.020505
2023-05-31,18576,UBER,37.93,0.221578
2023-06-30,18576,UBER,43.17,0.138149
2023-07-31,18576,UBER,49.46,0.145703
2023-08-31,18576,UBER,47.23,-0.045087
2023-09-29,18576,UBER,45.99,-0.026255
2023-10-31,18576,UBER,43.28,-0.058926
2023-11-30,18576,UBER,56.38,0.30268
2023-12-29,18576,UBER,61.57,0.092054
2024-01-31,18576,UBER,65.27,0.060094
2024-02-29,18576,UBER,79.5,0.218018
2024-03-28,18576,UBER,76.99,-0.031572
2024-04-30,18576,UBER,66.27,-0.139239
2024-05-31,18576,UBER,64.56,-0.025804
2024-06-28,18576,UBER,72.68,0.125775
2024-07-31,18576,UBER,64.47,-0.112961
2024-08-30,18576,UBER,73.13,0.134326
2024-09-30,18576,UBER,75.16,0.027759
2024-10-31,18576,UBER,72.05,-0.041378
2024-11-29,18576,UBER,71.96,-0.001249
2024-12-31,18576,UBER,60.32,-0.161757
